cluster_id,system,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_02655,primera_sentence,0.5517241379310345,0.05536332179930796,0.10062893081761007,0.052980132450331126,0.5,0.078125,0.13513513513513514,0.07246376811594203,0.5714285714285714,0.058823529411764705,0.10666666666666666,0.056338028169014086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.8571428571428572,0.024390243902439025,0.0,0.0,0.058823529411764705,0.375,0.1,29,20,7,11,7
test_02659,primera_exact,0.35,0.16666666666666666,0.22580645161290322,0.12727272727272726,0.6,0.19148936170212766,0.29032258064516125,0.16981132075471697,0.2,0.030303030303030304,0.052631578947368425,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.10638297872340426,0.0,0.0,0.030303030303030304,0.2727272727272727,0.3,40,15,5,9,5
test_02659,primera_sentence,0.35,0.16666666666666666,0.22580645161290322,0.12727272727272726,0.6,0.19148936170212766,0.29032258064516125,0.16981132075471697,0.2,0.030303030303030304,0.052631578947368425,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.10638297872340426,0.0,0.0,0.030303030303030304,0.2727272727272727,0.3,40,15,5,9,5
test_02669,primera_exact,0.8205128205128205,0.09495548961424333,0.17021276595744683,0.09302325581395349,0.8571428571428571,0.08571428571428572,0.15584415584415584,0.08450704225352113,0.5,0.029411764705882353,0.05555555555555555,0.02857142857142857,0.5,0.022222222222222223,0.0425531914893617,0.021739130434782608,0.5,0.022222222222222223,0.0425531914893617,0.5,0.5,0.5,0.5,0.041666666666666664,0.022222222222222223,0.021739130434782608,0.029411764705882353,0.08333333333333333,0.0,39,14,4,8,4
test_02669,primera_sentence,0.8205128205128205,0.09495548961424333,0.17021276595744683,0.09302325581395349,0.8571428571428571,0.08571428571428572,0.15584415584415584,0.08450704225352113,0.5,0.029411764705882353,0.05555555555555555,0.02857142857142857,0.5,0.022222222222222223,0.0425531914893617,0.021739130434782608,0.5,0.022222222222222223,0.0425531914893617,0.5,0.5,0.5,0.5,0.041666666666666664,0.022222222222222223,0.021739130434782608,0.029411764705882353,0.08333333333333333,0.0,39,14,4,8,4
test_02684,primera_exact,0.4722222222222222,0.02556390977443609,0.04850213980028531,0.024853801169590642,0.8333333333333334,0.08108108108108109,0.1477832512315271,0.0797872340425532,0.2,0.009708737864077669,0.018518518518518517,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.01015228426395939,0.0,0.0,0.009708737864077669,0.14285714285714285,0.1,36,18,6,9,6
test_02684,primera_sentence,0.4722222222222222,0.02556390977443609,0.04850213980028531,0.024853801169590642,0.8333333333333334,0.08108108108108109,0.1477832512315271,0.0797872340425532,0.2,0.009708737864077669,0.018518518518518517,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.01015228426395939,0.0,0.0,0.009708737864077669,0.14285714285714285,0.1,36,18,6,9,6
test_02689,primera_exact,0.6785714285714286,0.2,0.3089430894308944,0.18269230769230768,0.2727272727272727,0.08571428571428572,0.13043478260869562,0.06976744186046512,0.375,0.13043478260869565,0.19354838709677416,0.10714285714285714,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.06451612903225806,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.14705882352941177,0.08333333333333333,0.06451612903225806,0.13043478260869565,0.2222222222222222,0.3,28,11,9,18,9
test_02689,primera_sentence,0.6785714285714286,0.2,0.3089430894308944,0.18269230769230768,0.2727272727272727,0.08571428571428572,0.13043478260869562,0.06976744186046512,0.375,0.13043478260869565,0.19354838709677416,0.10714285714285714,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.06451612903225806,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.14705882352941177,0.08333333333333333,0.06451612903225806,0.13043478260869565,0.2222222222222222,0.3,28,11,9,18,9
test_02693,primera_exact,0.3548387096774194,0.061452513966480445,0.10476190476190476,0.05527638190954774,0.5882352941176471,0.08695652173913043,0.1515151515151515,0.08196721311475409,0.2222222222222222,0.06060606060606061,0.09523809523809523,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.017543859649122806,0.0,0.0,0.06060606060606061,0.6666666666666666,0.1,31,17,10,13,10
test_02693,primera_sentence,0.3548387096774194,0.061452513966480445,0.10476190476190476,0.05527638190954774,0.5882352941176471,0.08695652173913043,0.1515151515151515,0.08196721311475409,0.2222222222222222,0.06060606060606061,0.09523809523809523,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.017543859649122806,0.0,0.0,0.06060606060606061,0.6666666666666666,0.1,31,17,10,13,10
test_02696,primera_exact,0.7307692307692307,0.08558558558558559,0.1532258064516129,0.08296943231441048,0.8181818181818182,0.11842105263157894,0.20689655172413793,0.11538461538461539,0.75,0.09375,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.5,0.03333333333333333,0.0,0.0,0.09375,0.42857142857142855,0.0,26,11,4,7,4
test_02696,primera_sentence,0.7307692307692307,0.08558558558558559,0.1532258064516129,0.08296943231441048,0.8181818181818182,0.11842105263157894,0.20689655172413793,0.11538461538461539,0.75,0.09375,0.16666666666666666,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.5,0.03333333333333333,0.0,0.0,0.09375,0.42857142857142855,0.0,26,11,4,7,4
test_02704,primera_exact,0.6206896551724138,0.05598755832037325,0.10271041369472182,0.05413533834586466,0.5,0.03734439834024896,0.0694980694980695,0.036,0.5,0.02857142857142857,0.05405405405405405,0.027777777777777776,0.1111111111111111,0.007246376811594203,0.013605442176870748,0.00684931506849315,0.1111111111111111,0.007246376811594203,0.013605442176870748,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.6666666666666667,0.0273972602739726,0.007246376811594203,0.00684931506849315,0.02857142857142857,0.25,0.1,58,18,9,16,9
test_02704,primera_sentence,0.6206896551724138,0.05598755832037325,0.10271041369472182,0.05413533834586466,0.5,0.03734439834024896,0.0694980694980695,0.036,0.5,0.02857142857142857,0.05405405405405405,0.027777777777777776,0.1111111111111111,0.007246376811594203,0.013605442176870748,0.00684931506849315,0.1111111111111111,0.007246376811594203,0.013605442176870748,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.6666666666666667,0.0273972602739726,0.007246376811594203,0.00684931506849315,0.02857142857142857,0.25,0.1,58,18,9,16,9
test_02705,primera_exact,0.5142857142857142,0.08411214953271028,0.14457831325301204,0.07792207792207792,0.8333333333333334,0.1485148514851485,0.25210084033613445,0.14423076923076922,0.25,0.022222222222222223,0.04081632653061225,0.020833333333333332,0.2,0.017543859649122806,0.03225806451612903,0.01639344262295082,0.2,0.017543859649122806,0.03225806451612903,0.2,0.2,0.2,0.8,0.04597701149425287,0.017543859649122806,0.01639344262295082,0.022222222222222223,0.5,0.1,35,18,5,9,5
test_02705,primera_sentence,0.5142857142857142,0.08411214953271028,0.14457831325301204,0.07792207792207792,0.8333333333333334,0.1485148514851485,0.25210084033613445,0.14423076923076922,0.25,0.022222222222222223,0.04081632653061225,0.020833333333333332,0.2,0.017543859649122806,0.03225806451612903,0.01639344262295082,0.2,0.017543859649122806,0.03225806451612903,0.2,0.2,0.2,0.8,0.04597701149425287,0.017543859649122806,0.01639344262295082,0.022222222222222223,0.5,0.1,35,18,5,9,5
test_02708,primera_exact,0.6904761904761905,0.26126126126126126,0.3790849673202615,0.23387096774193547,0.7647058823529411,0.5416666666666666,0.6341463414634146,0.4642857142857143,0.7142857142857143,0.20833333333333334,0.3225806451612903,0.19230769230769232,0.09090909090909091,0.037037037037037035,0.05263157894736842,0.02702702702702703,0.09090909090909091,0.037037037037037035,0.05263157894736842,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.1794871794871795,0.037037037037037035,0.02702702702702703,0.20833333333333334,0.5,0.2,42,34,11,15,11
test_02708,primera_sentence,0.6904761904761905,0.26126126126126126,0.3790849673202615,0.23387096774193547,0.7647058823529411,0.5416666666666666,0.6341463414634146,0.4642857142857143,0.7142857142857143,0.20833333333333334,0.3225806451612903,0.19230769230769232,0.09090909090909091,0.037037037037037035,0.05263157894736842,0.02702702702702703,0.09090909090909091,0.037037037037037035,0.05263157894736842,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.1794871794871795,0.037037037037037035,0.02702702702702703,0.20833333333333334,0.5,0.2,42,34,11,15,11
test_02712,primera_exact,0.5166666666666667,0.248,0.33513513513513515,0.2012987012987013,0.4857142857142857,0.288135593220339,0.3617021276595745,0.22077922077922077,0.14285714285714285,0.0625,0.08695652173913043,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.03333333333333333,0.0,0.0,0.0625,0.6666666666666666,0.1,60,35,7,12,7
test_02712,primera_sentence,0.5166666666666667,0.248,0.33513513513513515,0.2012987012987013,0.4857142857142857,0.288135593220339,0.3617021276595745,0.22077922077922077,0.14285714285714285,0.0625,0.08695652173913043,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.03333333333333333,0.0,0.0,0.0625,0.6666666666666666,0.1,60,35,7,12,7
test_02713,primera_exact,0.43902439024390244,0.1267605633802817,0.19672131147540983,0.10909090909090909,0.4583333333333333,0.09016393442622951,0.1506849315068493,0.08148148148148149,0.375,0.15,0.21428571428571425,0.12,0.0,0.0,0.0,0.0,0.125,0.034482758620689655,0.05405405405405405,0.25,0.375,0.25,0.75,0.12195121951219512,0.0,0.0,0.15,0.5,0.1,41,24,8,14,8
