regrouping,metric,n_bundles,run82_mean,leadw_mean,delta,ci95_low,ci95_high,wilcoxon_p,cohens_dz
13,subject_coverage,71,0.5653666059015546,0.49079989326001194,0.07456671264154258,0.04702045338241193,0.10211210939545069,1.2318477332057782e-05,0.6160563721225784
13,object_coverage,71,0.40201057398790296,0.36883592853316044,0.03317464545474245,0.018951458624550523,0.047113800294002646,2.684295500941934e-05,0.536850175790852
13,entity_pair_coverage,71,0.32438560001342664,0.35002895483942126,-0.025643354825994665,-0.04289264933494657,-0.008700176941993099,0.0034873594602837384,-0.3555887558110485
13,predicate_lexical_coverage,71,0.2278341282248225,0.21685273859504606,0.010981389629776425,-0.006610499669541724,0.028767039219874828,0.241719003985713,0.14156896537190986
13,gold_semantic_recall_t060,71,0.039637225146635396,0.030371251122843557,0.009265974023791835,0.004016905761194638,0.014508342738328723,0.002112990898148081,0.40489535994430065
13,gold_semantic_f1_t060,71,0.06724282674861791,0.051814352757710055,0.01542847399090785,0.0068830592718570425,0.024187073498741673,0.0011269975858499088,0.4096228739462025
14,subject_coverage,71,0.5806310326240478,0.4873677593303478,0.09326327329369985,0.06915641933202413,0.11883687771343834,6.529702008874556e-09,0.8675331861921541
14,object_coverage,71,0.39635916069148813,0.3646055545544346,0.031753606137053615,0.019465440283678956,0.0428821945495693,4.146274925018943e-06,0.6420006539369543
14,entity_pair_coverage,71,0.3264237524712567,0.3417198836429989,-0.015296131171742154,-0.029938872797769602,-0.000973279911263278,0.035742724972313525,-0.24314693142271002
14,predicate_lexical_coverage,71,0.23283491882100138,0.2099953449444874,0.022839573876513964,0.007384585596229361,0.03741369129886059,0.004942222257394936,0.34032793466407835
14,gold_semantic_recall_t060,71,0.039259301647614146,0.040109545416417126,-0.0008502437688029794,-0.006519323896678483,0.004916886724693366,0.6882089499028619,-0.03402117596384465
14,gold_semantic_f1_t060,71,0.06626022755667141,0.06877076474607462,-0.0025105371894032385,-0.011974740875513312,0.006967000665572098,0.4918203834379393,-0.06098313005801925
15,subject_coverage,71,0.5512433138995535,0.47489223116680734,0.07635108273274613,0.052112805494638925,0.10094637002703169,3.0880979419857863e-07,0.7378615557394111
15,object_coverage,71,0.38392133335642975,0.35397940292079577,0.029941930435634093,0.016796057044780575,0.04312571195292494,4.1104946477617694e-05,0.540741290443007
15,entity_pair_coverage,71,0.31676798389680594,0.3358527271975862,-0.019084743300780284,-0.032467047473817075,-0.005678935515830854,0.00684586119932323,-0.33915598289708926
15,predicate_lexical_coverage,71,0.22848415421531698,0.201486728123512,0.026997426091804905,0.009659602778907938,0.043601908091071645,0.0013583851465496827,0.3732933842942237
15,gold_semantic_recall_t060,71,0.040398403240269484,0.03598395156184986,0.004414451678419623,-0.0010298795157076828,0.010085435871680173,0.07485048821527601,0.19253655971098194
15,gold_semantic_f1_t060,71,0.06829106556812405,0.061804899364946625,0.006486166203177425,-0.002555960381451553,0.01585709325343375,0.22462154579197113,0.16789211699786527
16,subject_coverage,71,0.5604077024459886,0.4837515372046483,0.07665616524134015,0.048877979563489264,0.10471910897126108,3.439311566129686e-06,0.6420205323218978
16,object_coverage,71,0.3979974838266521,0.3702715699831214,0.027725913843530747,0.014942257360157106,0.041847001459399465,0.0008969292706799509,0.4704530906513193
16,entity_pair_coverage,71,0.32479212176429884,0.3496450858633002,-0.0248529640990013,-0.04274426583255678,-0.006197174321115681,0.006886666607787006,-0.31959541367630384
16,predicate_lexical_coverage,71,0.22572224403830982,0.2007751474622642,0.024947096576045602,0.010028047640457685,0.039974944899909506,0.003459696723841187,0.3833319031530965
16,gold_semantic_recall_t060,71,0.038113539557738454,0.03714999088080807,0.0009635486769303884,-0.004418915456588938,0.0062450988185625035,0.4763457525949154,0.041323158670846315
16,gold_semantic_f1_t060,71,0.06439773690758697,0.06330760909838198,0.001090127809204987,-0.007800326239760552,0.009939672084912463,0.6885125179580869,0.028154907845176252
17,subject_coverage,71,0.5490684924956313,0.46996004867527363,0.07910844382035757,0.05250625238792196,0.10762212017414333,3.4391388424191334e-06,0.6661122729841816
17,object_coverage,71,0.3832001290305847,0.355258285966773,0.027941843063811683,0.011347029828193028,0.0445771450585574,0.0011626457196029056,0.39710206330183156
17,entity_pair_coverage,71,0.3094316822550433,0.3373986748797396,-0.02796699262469632,-0.04570160310149607,-0.00968600251047724,0.0035241994910326715,-0.36486235886342183
17,predicate_lexical_coverage,71,0.21688136888367263,0.19659379688372677,0.020287571999945807,0.004761337040187887,0.03542910747016313,0.005819801990949528,0.30177855889901267
17,gold_semantic_recall_t060,71,0.04075690835306082,0.03488858537846188,0.0058683229745989515,0.0005489330680823175,0.01136584964000864,0.09446250212690278,0.2460636622657024
17,gold_semantic_f1_t060,71,0.06902379891579834,0.060232908653184696,0.008790890262613617,-6.344215005016432e-05,0.018050611006107276,0.15079514595111093,0.22041185311783842
18,subject_coverage,71,0.5423308074971953,0.4696281093675999,0.07270269812959544,0.047687180780567134,0.0972678069437478,1.4836120525183174e-06,0.6663740680861745
18,object_coverage,71,0.39170336397972527,0.3624016856975886,0.029301678282136517,0.016164684915719433,0.04304653992135842,0.00024251543710539504,0.4934701553530491
18,entity_pair_coverage,71,0.31658999595443404,0.3392552684117773,-0.022665272457343212,-0.03849718212257168,-0.006998846711654767,0.011510331240934455,-0.3181514243035589
18,predicate_lexical_coverage,71,0.2316961480811815,0.20724535701200894,0.024450791069172587,0.008238021453854424,0.039835904146539314,0.0018244918958418724,0.35068122316617245
18,gold_semantic_recall_t060,71,0.0426144133938477,0.038553850940871416,0.004060562452976279,-0.0019170317697653578,0.010063751380272084,0.24967796779972184,0.15459855314457577
18,gold_semantic_f1_t060,71,0.07212515170336327,0.0659899550544374,0.006135196648925872,-0.0039015626843008537,0.01603357623755226,0.23109782508249832,0.13975049379214058
19,subject_coverage,71,0.55298664094143,0.47329342901016835,0.07969321193126154,0.05472905136186496,0.10557944617431805,3.3929657935458753e-07,0.7153268169778473
19,object_coverage,71,0.4041798203256385,0.365135071816702,0.0390447485089366,0.023780363016432462,0.054552876945728385,7.669168964322257e-06,0.5872041623851361
19,entity_pair_coverage,71,0.32955279714771407,0.34347263826338764,-0.013919841115673551,-0.02984849893451138,0.0034058183493596637,0.08331007368417868,-0.19717467736174077
19,predicate_lexical_coverage,71,0.23222611774455074,0.21024401280044885,0.021982104944101914,0.004215503013776802,0.038782628329231114,0.004384026297352394,0.29593481926760645
19,gold_semantic_recall_t060,71,0.04098497144404362,0.031567805867739794,0.009417165576303824,0.004190060351025433,0.014623500940240832,0.0008666073495074327,0.410139261716156
19,gold_semantic_f1_t060,71,0.06889457333463395,0.05438183781797613,0.014512735516657828,0.00580800672279494,0.023308899878833188,0.004991811485411213,0.3784462919561497
20,subject_coverage,71,0.5401484683476713,0.47470827765069357,0.06544019069697765,0.03894514207073829,0.0911327767757585,9.157422240587984e-06,0.5803911000652422
20,object_coverage,71,0.38434726342604186,0.35469498183027603,0.029652281595765884,0.017236299695617095,0.04191809269036132,4.48209436069411e-05,0.5540180080088322
20,entity_pair_coverage,71,0.30574506978845534,0.3371146478903068,-0.031369578101851404,-0.048030896281920255,-0.013892094424612908,0.0009250883936959116,-0.4219897628394576
20,predicate_lexical_coverage,71,0.22328632883476018,0.20936090103240515,0.01392542780235501,0.0012231302035771929,0.02619825954852592,0.02164577155455305,0.25754025250181567
20,gold_semantic_recall_t060,71,0.039308471872767044,0.032304508879805356,0.007003962992961683,0.0017135307851544386,0.012432173652338603,0.0215255614513155,0.31133734824261666
20,gold_semantic_f1_t060,71,0.06658481731298446,0.05568089630200319,0.010903921010981291,0.0020338727579748313,0.019973652521833425,0.08911981856566685,0.290191496521284
21,subject_coverage,71,0.5886388311425145,0.4965459263413065,0.09209290480120809,0.06775797729349332,0.11544827999623761,3.417502821078221e-08,0.8498374404342823
21,object_coverage,71,0.39648190387506765,0.37154531632700155,0.02493658754806613,0.010073048159817502,0.039583583923569615,0.0021069437028200513,0.3855796697665708
21,entity_pair_coverage,71,0.32403949824504874,0.3516043465981588,-0.027564848353110075,-0.04183766824450289,-0.012562016630357727,0.0006163294426655642,-0.4267187081585344
21,predicate_lexical_coverage,71,0.22814163877380073,0.20861272917846924,0.019528909595331507,0.00476180600348529,0.03436472280387077,0.016173518329711707,0.30596051545430797
21,gold_semantic_recall_t060,71,0.038016013164465914,0.03590875198323965,0.002107261181226268,-0.0028404425925665716,0.006880477905216901,0.6833670039924682,0.09905968592438538
21,gold_semantic_f1_t060,71,0.06419648211420151,0.061189921586466474,0.003006560527735027,-0.005361037210562949,0.011041952728618945,0.7490641294844607,0.08416175852213392
22,subject_coverage,71,0.5713127927997234,0.49725325646171337,0.07405953633801,0.051283948987048404,0.09706543390773287,3.4494255589955896e-07,0.726610781797835
22,object_coverage,71,0.39460626611313815,0.3651259337914888,0.02948033232164938,0.01566102495252264,0.044140981592037026,0.0002456057459253408,0.4833029107463191
22,entity_pair_coverage,71,0.3302578547117339,0.34691486808705463,-0.0166570133753207,-0.032191556388156926,-0.00017309224167200087,0.03999712528120205,-0.23557520310049143
22,predicate_lexical_coverage,71,0.22742386647924961,0.20381633752916714,0.023607528950082453,0.008586528996637057,0.03886740082373651,0.0028520125468782303,0.3616031661697231
22,gold_semantic_recall_t060,71,0.03819861459875832,0.03405775832436915,0.0041408562743891625,-0.0013794958557472666,0.009677749884603544,0.10850860697996215,0.17428453605095123
22,gold_semantic_f1_t060,71,0.06474152061042807,0.05866255798867889,0.006078962621749177,-0.0033523488711433838,0.015477770721214104,0.25062425390497844,0.15118624477137668
23,subject_coverage,71,0.5481033651018642,0.47004933879300204,0.07805402630886214,0.05335276737741552,0.10428608130470762,3.7919731034877565e-07,0.7100869564904502
23,object_coverage,71,0.38479134184107994,0.35685944602801417,0.027931895813065866,0.014872348495449609,0.04142126963623997,0.00025167219928768595,0.4756552231471374
23,entity_pair_coverage,71,0.3167973003366614,0.3353987014357645,-0.018601401099102965,-0.03378933475632444,-0.003921778855359174,0.02576668727281248,-0.28983166354857876
23,predicate_lexical_coverage,71,0.2319631004922274,0.20505383641352168,0.026909264078705777,0.008829501251503696,0.044639963532009413,0.0059003205449606145,0.35071956295613343
23,gold_semantic_recall_t060,71,0.040138218620797514,0.03534774594349594,0.004790472677301567,-0.0005753764126752487,0.010065476358837082,0.1456309270176057,0.2071110172876423
23,gold_semantic_f1_t060,71,0.06788798642993854,0.060870310680940704,0.007017675748997859,-0.002083088747189653,0.015926349172021303,0.3003386998414549,0.17900400751942847
24,subject_coverage,71,0.5545057362433423,0.49014865189598394,0.06435708434735839,0.0377950327159264,0.09123896394510511,1.4153830056574878e-05,0.5635480522089316
24,object_coverage,71,0.39313603127907215,0.36096885511310745,0.0321671761659647,0.0197278539177418,0.04451580848582953,1.0328201571900186e-05,0.6101336556468694
24,entity_pair_coverage,71,0.3230768042315575,0.34357439267796946,-0.020497588446412106,-0.03723646717781948,-0.004666986920171325,0.019475481553250695,-0.30437989995916265
24,predicate_lexical_coverage,71,0.235631330520447,0.2240833230182992,0.011548007502147777,-0.0038535769480480464,0.0278686671577515,0.20700936098914557,0.16376829517940947
24,gold_semantic_recall_t060,71,0.038633936895739955,0.038405339000695815,0.00022859789504414262,-0.006634275340413867,0.007100130742369951,0.9365559111749308,0.007586546243775091
24,gold_semantic_f1_t060,71,0.06530997237043021,0.06571369013169746,-0.0004037177612672448,-0.01189214171504135,0.011104248607064406,0.7599719106387297,-0.008030664112536836
25,subject_coverage,71,0.5615611449670944,0.46563028991978495,0.09593085504730954,0.0735608379153387,0.11916019584071101,1.654941436871768e-09,0.9844676568996504
25,object_coverage,71,0.3885483945031544,0.3624093376823963,0.026139056820758164,0.01255904850074532,0.040012456029753424,0.0008639145287496731,0.4327146878345774
25,entity_pair_coverage,71,0.3136748892384254,0.33953999628092535,-0.025865107042499932,-0.04100837830129164,-0.011174789153623127,0.0018472385206068501,-0.4011065289750138
25,predicate_lexical_coverage,71,0.2341415095495597,0.1998496114928552,0.03429189805670451,0.020005787813735295,0.04756058643616461,2.8477228699677416e-05,0.5784779873915045
25,gold_semantic_recall_t060,71,0.04282219878555509,0.03561436582517677,0.007207832960378313,0.0010749636496991237,0.013004130439174916,0.03391893147078343,0.2751641808199665
25,gold_semantic_f1_t060,71,0.07255784684713776,0.06116583618974819,0.011392010657389567,0.0009875234941714981,0.021113096623691652,0.044717416738857575,0.2609705426866141
26,subject_coverage,71,0.5489856707274382,0.4985338854262419,0.05045178530119628,0.026600579221831143,0.07258383883991851,5.709116185943725e-05,0.520114803886776
26,object_coverage,71,0.38820421421081647,0.3757986075017524,0.01240560670906399,-0.000764543074163549,0.024539705455330584,0.05906207638753075,0.22202543926219898
26,entity_pair_coverage,71,0.30963886677925445,0.35068470252614375,-0.04104583574688929,-0.0553333779912856,-0.027300206869529026,1.6934115111428725e-06,-0.6687108133866492
26,predicate_lexical_coverage,71,0.23841928861772468,0.210269085069359,0.028150203548365723,0.012214502524708574,0.04503177923807865,0.0006058385165044852,0.40395615549070496
26,gold_semantic_recall_t060,71,0.039848648142812006,0.03675687419082998,0.003091773951982029,-0.002143562362708032,0.008046317907462824,0.2650968396492196,0.1381641931227295
26,gold_semantic_f1_t060,71,0.0675804529972586,0.06304373105499865,0.0045367219422599355,-0.004191492915667146,0.012883948897538525,0.3990622602779397,0.12027330548634858
27,subject_coverage,71,0.545883614584903,0.4670899710193194,0.07879364356558335,0.05290742757610783,0.10497391211726241,1.056822627381003e-06,0.6889612928572437
27,object_coverage,71,0.3945298058030056,0.3512961355960982,0.04323367020690746,0.030214954552533067,0.05632803292841479,1.1218430259251542e-07,0.7687494747380579
27,entity_pair_coverage,71,0.3155866348752746,0.3332476577037898,-0.017661022828515237,-0.03434006993575578,-0.0014187167579476727,0.035008202137627176,-0.24560668458185073
27,predicate_lexical_coverage,71,0.23265809888249503,0.2066633444752631,0.025994754407231972,0.010050698118364355,0.042462671351591805,0.0067696718639807425,0.3779884147813487
27,gold_semantic_recall_t060,71,0.0398540225144765,0.03837078080790389,0.001483241706572613,-0.003888384776704828,0.007017564145575918,0.6813901560070917,0.06199764512231482
27,gold_semantic_f1_t060,71,0.06724987623880105,0.06573818674430336,0.0015116894944976875,-0.007410741884574061,0.010585378082261775,0.8907590930508589,0.03820545247028668
28,subject_coverage,71,0.5438959795094075,0.48041720173943475,0.0634787777699726,0.03889443037000194,0.08786445940179372,2.0534724257281796e-05,0.5820297631381072
28,object_coverage,71,0.3991854600572769,0.35811391769692585,0.04107154236035118,0.029760763663749582,0.052513842698097286,7.166909356753935e-08,0.8169242311852137
28,entity_pair_coverage,71,0.3232001442671159,0.3430553500366231,-0.0198552057695071,-0.034435959960902075,-0.00561640613196874,0.013635038116219439,-0.31320172099000143
28,predicate_lexical_coverage,71,0.23177019601217397,0.19983058435499337,0.03193961165718058,0.015384689524406489,0.048250294095122256,0.0005793426419658431,0.4519698330834311
28,gold_semantic_recall_t060,71,0.04096374934881045,0.03687722325254361,0.004086526096266835,-0.0010811210375185206,0.00891675115609606,0.19125008342277805,0.19169082119196246
28,gold_semantic_f1_t060,71,0.06949267847010733,0.0631414422098474,0.0063512362602599435,-0.0023400335333731382,0.014546406855055677,0.2635031087605083,0.17537657029569567
29,subject_coverage,71,0.5552726204747059,0.4976933356178862,0.057579284856819624,0.029924010621758285,0.08474446226011412,0.00028865625030905927,0.4826647551590877
29,object_coverage,71,0.3963522539554983,0.3720572737911823,0.024294980164315975,0.009906261929425753,0.03821243453603761,0.0008862847739789851,0.40014284163676644
29,entity_pair_coverage,71,0.3236917359222842,0.3540245238505918,-0.030332787928307615,-0.04752072600343834,-0.012601354229548877,0.0033570707772290114,-0.4035635385700166
29,predicate_lexical_coverage,71,0.23298006003490113,0.21296113382665322,0.02001892620824783,0.004270710153856129,0.03479911226083658,0.014418425629700535,0.3002604981123481
29,gold_semantic_recall_t060,71,0.03803404422009301,0.036952054460155453,0.0010819897599375597,-0.0042284886707307165,0.006494598695235858,0.7406462399005002,0.046659860320684046
29,gold_semantic_f1_t060,71,0.06415835813922892,0.06337128218482999,0.0007870759543989091,-0.008039733583205418,0.009908697170630594,0.7900279572955589,0.020195232096564236
30,subject_coverage,71,0.5566937384767028,0.4500727156993535,0.10662102277734939,0.08091097878306973,0.1356117991166858,7.0074022402005736e-09,0.9095075293475045
30,object_coverage,71,0.383653718962153,0.35333940633875266,0.03031431262340041,0.01619521134056272,0.04412072591629998,0.00011809745286176663,0.4864615339075196
30,entity_pair_coverage,71,0.31283309726551006,0.3314537982108258,-0.01862070094531577,-0.03506308667627809,-0.0018319216671654895,0.026735297134069132,-0.25864236399072
30,predicate_lexical_coverage,71,0.22948117561068987,0.20242563444157669,0.027055541169113222,0.010474836878177267,0.04361712009955053,0.0015015671047307307,0.37877795997319524
30,gold_semantic_recall_t060,71,0.0367086921129735,0.03743136790698049,-0.0007226757940069946,-0.006008626372420467,0.004698852246353465,0.5380378929443814,-0.030770343177317794
30,gold_semantic_f1_t060,71,0.06184100581157803,0.06448048792272291,-0.0026394821111448722,-0.011629818609887767,0.006629814303738524,0.35251181300369083,-0.06615891375293953
31,subject_coverage,71,0.5781913617116876,0.4838399273552589,0.09435143435642844,0.06743513141035011,0.12263309456313423,1.6534020701261638e-07,0.7895604072180527
31,object_coverage,71,0.4003636814003086,0.37195773875088484,0.028405942649423754,0.015036927856223145,0.04132262382218425,0.00013694906350955773,0.48958134082241694
31,entity_pair_coverage,71,0.33122981737831103,0.34878687876906705,-0.01755706139075597,-0.032538396270463815,-0.0031453369357434184,0.052136922932213475,-0.27052804633972855
31,predicate_lexical_coverage,71,0.2282136492822956,0.2174404278838927,0.010773221398402847,-0.0033476216399625225,0.0254098872782139,0.19106826137046928,0.1753532908513363
31,gold_semantic_recall_t060,71,0.041971929975743734,0.03540393813349707,0.006567991842246657,0.0018438971763474058,0.011456100609084504,0.0160111460433615,0.31945859295969037
31,gold_semantic_f1_t060,71,0.07085933836915953,0.06072540226395151,0.010133936105208016,0.0022848959650105293,0.018176941191096207,0.038327042462390576,0.29540248747998393
32,subject_coverage,71,0.553310626978513,0.4904167848227921,0.06289384215572089,0.042008819690038286,0.0831474439681643,8.704569932232126e-07,0.6944846185722416
32,object_coverage,71,0.3972808057786622,0.3677106540620038,0.029570151716658288,0.016455786347486092,0.04262812056248542,9.212511714609831e-05,0.5199070684636086
32,entity_pair_coverage,71,0.31830070719512654,0.3459000987617076,-0.02759939156658107,-0.04103908526233714,-0.013271444480338552,9.188265100617585e-05,-0.46375115718710364
