cluster_id,compression_gain
test_01517,0.8415335463258786
test_01523,0.8201396973224679
test_01525,0.9094260136914165
test_01541,0.49851190476190477
test_01548,0.6666666666666667
test_01556,0.908726625111309
test_01571,0.8427773343974461
test_01576,0.737583395107487
test_01604,0.9035699630693476
test_01611,0.8521920668058455
test_01618,0.7825704225352113
test_01622,0.9070993914807303
test_01633,0.8615702479338843
test_01643,0.8917725013804528
test_01661,0.7813248204309657
test_01683,0.4008438818565401
test_01705,0.9357340720221606
test_01720,0.913098555865214
test_01727,0.8835304822565969
test_01735,0.811949069539667
test_01744,0.953125
test_01748,0.954515491100857
test_01753,0.7815482502651113
test_01754,0.7849829351535836
test_01757,0.731958762886598
test_01795,0.8923533778767632
test_01802,0.7814136125654451
test_01803,0.8256457564575646
test_01822,0.827661909989023
test_01837,0.7540620384047267
test_01860,0.47572815533980584
test_01878,0.8447809626825311
test_01891,0.33234421364985167
test_01894,0.9603615376238702
test_01907,0.742296918767507
test_01933,0.2345971563981043
test_01939,0.9213911386374464
test_01941,0.6427444794952681
test_01944,0.7961452928094885
test_01960,0.873743993010048
test_01964,0.774528914879792
test_01965,0.7354227405247813
test_01979,0.5785024154589372
test_01981,0.6138728323699423
test_01983,0.6463414634146342
test_02021,0.7195325542570952
test_02034,0.4203262233375157
test_02048,0.9588325652841782
test_02060,0.9207419898819562
test_02098,0.4313432835820895
test_02101,0.7583479789103691
test_02102,0.5310596833130329
test_02117,0.8317054845980466
test_02124,0.0
test_02125,0.8889382496668148
test_02145,0.8816340782122905
test_02148,0.8218884120171674
test_02150,0.7748397435897436
test_02176,0.8919338159255429
test_02178,0.7157303370786516
test_02189,0.9464285714285714
test_02197,0.8830699774266366
test_02205,0.6053268765133172
test_02215,0.7415730337078652
test_02246,0.891281512605042
test_02251,0.6291208791208791
test_02306,0.541899441340782
test_02308,0.9463013698630137
test_02310,0.5405819295558958
test_02313,0.3031496062992126
test_02317,0.9408349460879182
test_02325,0.6684961580680571
test_02366,0.09701492537313428
test_02370,0.8632
test_02376,0.0
test_02380,0.3303370786516854
test_02392,0.9831902718168812
test_02399,0.9344804765056254
test_02404,0.8330849478390462
test_02412,0.648407643312102
test_02427,0.7335329341317365
test_02444,0.8799149840595112
test_02449,0.8839416058394161
test_02453,0.9536121673003802
test_02456,0.7235939643347051
test_02460,0.4981481481481481
test_02468,0.5432372505543237
test_02469,0.6907216494845361
test_02481,0.5712166172106825
test_02491,0.876967095851216
test_02519,0.9157007376185459
test_02520,0.7299205648720212
test_02524,0.9404832056570418
test_02535,0.9592081583683263
test_02540,0.7101910828025477
test_02557,0.5911504424778762
test_02563,0.48888888888888893
test_02586,0.6003062787136294
test_02591,0.9292452830188679
test_02592,0.3695238095238095
test_02594,0.8627997769102064
test_02599,0.6436314363143631
test_02602,0.7180685358255452
test_02624,0.9568006843455945
test_02629,0.9199739752765127
test_02634,0.9307295504789977
test_02638,0.8974482426576793
test_02642,0.8917388407728182
test_02655,0.8882323978335795
test_02664,0.9453061224489796
test_02699,0.8887225548902196
test_02700,0.8732004429678848
test_02713,0.7661917098445596
test_02725,0.8883610451306413
test_02744,0.7749110320284698
test_02751,0.9005524861878453
test_02765,0.8069432684165961
test_02816,0.9868865229810438
test_02823,0.7950354609929078
test_02828,0.7824
test_02859,0.8251417769376181
test_02862,0.6746302616609784
test_02864,0.8704896907216495
test_02877,0.8661755678330264
test_02881,0.9337368588722523
test_02886,0.7423245614035088
test_02892,0.30938123752495006
test_02904,0.1542416452442159
test_02917,0.8519437551695617
test_02922,0.2644376899696048
test_02923,0.7941176470588236
test_02947,0.7952655150351887
test_02950,0.575139146567718
test_02956,0.9012567324955116
test_02961,0.9408740359897172
test_02963,0.7422680412371134
test_02964,0.3676767676767677
test_02990,0.9761266094420601
test_03027,0.3248811410459588
test_03033,0.6958456973293768
test_03035,0.6427906976744187
test_03043,0.8531781557743957
test_03046,0.7982315112540193
test_03053,0.9114336492890995
test_03054,0.7501720578114246
test_03056,0.7588141025641025
test_03068,0.38524590163934425
test_03086,0.669826224328594
test_03108,0.8276729559748428
test_03117,0.9465065502183406
test_03126,0.3534971644612477
test_03131,0.930181175430844
test_03133,0.9145658263305322
test_03136,0.8654690618762475
test_03152,0.859478568272205
test_03155,0.8473429951690821
test_03170,0.9417350021579629
test_03175,0.9805885262116716
test_03177,0.9117787315212208
test_03179,0.5898876404494382
test_03188,0.34270650263620384
test_03189,0.8803159173754557
test_03207,0.4525043177892919
test_03226,0.48271092669432913
test_03229,0.5940298507462687
test_03235,0.5454545454545454
test_03244,0.8556485355648535
test_03248,0.6425818882466281
test_03250,0.9745458277737863
test_03266,0.0
test_03277,0.7856701667696109
test_03278,0.8163592622293504
test_03281,0.8833333333333333
test_03282,0.9031746031746032
test_03285,0.8774246801485761
test_03297,0.8854314002828855
test_03308,0.16022099447513816
