cluster_id,variant,alpha_topic,beta_pattern,delta_redundancy,summary_words,run82_target_words,absolute_budget_mismatch_pct,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_01744,full_run82,0.3,0.7,1.0,144,144,0.0,0.9545454545454546,0.052763819095477386,0.1,0.05263157894736842,1.0,0.06818181818181818,0.1276595744680851,0.06818181818181818,1.0,0.109375,0.19718309859154928,0.109375,1.0,0.07446808510638298,0.1386138613861386,0.07446808510638298,1.0,0.07446808510638298,0.1386138613861386,1.0,1.0,1.0,0.0,0.09917355371900827,0.07446808510638298,0.07446808510638298,0.109375,0.09523809523809523,0.2,22,9,7,12,7
test_01744,no_topic,0.0,1.0,1.0,373,144,159.02777777777777,1.0,0.1457286432160804,0.25438596491228066,0.1457286432160804,1.0,0.30303030303030304,0.4651162790697675,0.30303030303030304,1.0,0.0625,0.11764705882352941,0.0625,1.0,0.07446808510638298,0.1386138613861386,0.07446808510638298,1.0,0.07446808510638298,0.1386138613861386,1.0,1.0,1.0,0.0,0.09090909090909091,0.07446808510638298,0.07446808510638298,0.0625,0.09523809523809523,0.2,58,40,7,11,7
test_01744,no_pattern,1.0,0.0,1.0,144,144,0.0,0.9090909090909091,0.05025125628140704,0.09523809523809525,0.05,1.0,0.09090909090909091,0.16666666666666669,0.09090909090909091,1.0,0.140625,0.2465753424657534,0.140625,0.9,0.09574468085106383,0.17307692307692307,0.09473684210526316,0.9,0.09574468085106383,0.17307692307692307,1.0,0.9,0.9,0.09999999999999998,0.10743801652892562,0.09574468085106383,0.09473684210526316,0.140625,0.11904761904761904,0.2,22,12,10,14,10
test_01744,no_redundancy,0.3,0.7,0.0,258,144,79.16666666666666,1.0,0.08040201005025126,0.1488372093023256,0.08040201005025126,0.9565217391304348,0.16666666666666666,0.28387096774193543,0.16541353383458646,1.0,0.109375,0.19718309859154928,0.109375,1.0,0.07446808510638298,0.1386138613861386,0.07446808510638298,1.0,0.07446808510638298,0.1386138613861386,1.0,1.0,1.0,0.0,0.09917355371900827,0.07446808510638298,0.07446808510638298,0.109375,0.09523809523809523,0.3,32,23,7,12,7
test_01748,full_run82,0.3,0.7,1.0,414,414,0.0,1.0,0.06527415143603134,0.12254901960784315,0.06527415143603134,1.0,0.10738255033557047,0.1939393939393939,0.10738255033557047,1.0,0.05699481865284974,0.10784313725490197,0.05699481865284974,1.0,0.046153846153846156,0.08823529411764706,0.046153846153846156,1.0,0.046153846153846156,0.08823529411764706,1.0,1.0,1.0,0.0,0.047872340425531915,0.046153846153846156,0.046153846153846156,0.05699481865284974,0.08433734939759036,0.2,75,32,12,18,12
test_01748,no_topic,0.0,1.0,1.0,410,414,0.966183574879227,1.0,0.06005221932114883,0.11330049261083744,0.06005221932114883,1.0,0.09395973154362416,0.17177914110429446,0.09395973154362416,1.0,0.06735751295336788,0.1262135922330097,0.06735751295336788,1.0,0.05,0.09523809523809523,0.05,1.0,0.05,0.09523809523809523,1.0,1.0,1.0,0.0,0.05585106382978723,0.05,0.05,0.06735751295336788,0.060240963855421686,0.3,69,28,13,21,13
test_01748,no_pattern,1.0,0.0,1.0,174,414,57.971014492753625,1.0,0.031331592689295036,0.060759493670886074,0.031331592689295036,1.0,0.026845637583892617,0.05228758169934641,0.026845637583892617,1.0,0.04145077720207254,0.07960199004975126,0.04145077720207254,1.0,0.03461538461538462,0.06691449814126393,0.03461538461538462,1.0,0.03461538461538462,0.06691449814126393,1.0,1.0,1.0,0.0,0.0398936170212766,0.03461538461538462,0.03461538461538462,0.04145077720207254,0.03614457831325301,0.1,36,8,9,15,9
test_01748,no_redundancy,0.3,0.7,0.0,434,414,4.830917874396135,1.0,0.04003481288076589,0.07698744769874477,0.04003481288076589,0.967741935483871,0.10067114093959731,0.182370820668693,0.10033444816053512,1.0,0.03626943005181347,0.07,0.03626943005181347,1.0,0.038461538461538464,0.07407407407407407,0.038461538461538464,1.0,0.038461538461538464,0.07407407407407407,1.0,1.0,1.0,0.0,0.03723404255319149,0.038461538461538464,0.038461538461538464,0.03626943005181347,0.04819277108433735,0.1,46,31,10,14,10
test_01753,full_run82,0.3,0.7,1.0,206,206,0.0,1.0,0.2982456140350877,0.45945945945945943,0.2982456140350877,1.0,0.3561643835616438,0.5252525252525252,0.3561643835616438,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,1.0,0.3125,0.47619047619047616,0.3125,1.0,0.3125,0.47619047619047616,0.8666666666666667,1.0,0.8666666666666667,0.1333333333333333,0.3382352941176471,0.3125,0.3125,0.38461538461538464,0.7142857142857143,0.5,34,26,15,23,15
test_01753,no_topic,0.0,1.0,1.0,258,206,25.24271844660194,1.0,0.34210526315789475,0.5098039215686275,0.34210526315789475,1.0,0.4657534246575342,0.6355140186915887,0.4657534246575342,1.0,0.4358974358974359,0.6071428571428571,0.4358974358974359,1.0,0.375,0.5454545454545454,0.375,1.0,0.375,0.5454545454545454,0.8888888888888888,1.0,0.8888888888888888,0.11111111111111116,0.4117647058823529,0.375,0.375,0.4358974358974359,0.7142857142857143,0.5,39,34,18,28,18
