cluster_id,compression_gain
test_02740,0.8107255520504733
test_02744,0.7749110320284698
test_02748,0.7594501718213058
test_02764,0.8192419825072886
test_02774,0.7783149171270718
test_02776,0.7712374581939799
test_02778,0.719438877755511
test_02782,0.6513859275053304
test_02789,0.9189954014856738
test_02805,0.5732098325614535
test_02810,0.8995215311004785
test_02822,0.1120689655172413
test_02830,0.8849523809523809
test_02834,0.8535489667565139
test_02836,0.0
test_02837,0.9593267882187938
test_02841,0.6752368064952639
test_02848,0.3611111111111111
test_02849,0.9002881844380404
test_02873,0.8159448818897638
test_02878,0.2473118279569892
test_02879,0.7394843962008142
test_02897,0.8439425051334702
test_02907,0.6282051282051282
test_02914,0.7934131736526946
test_02955,0.9100856327307326
test_02965,0.2234636871508379
test_02986,0.8854080791426215
test_02989,0.0
test_03028,0.0
test_03031,0.6838407494145199
test_03035,0.6427906976744187
test_03038,0.8705432937181664
test_03050,0.9096844396082698
test_03058,0.8409863945578231
test_03061,0.8899018232819075
test_03073,0.562137049941928
test_03077,0.8734634851771511
test_03091,0.9789317507418398
test_03108,0.8276729559748428
test_03123,0.6760259179265659
test_03127,0.8834134615384616
test_03134,0.4954486345903771
test_03147,0.8581483486735246
test_03154,0.9497807891590276
test_03156,0.265625
test_03157,0.7611721611721611
test_03158,-0.0080645161290322
test_03174,0.6353305785123967
test_03175,0.9805885262116716
test_03202,0.6752941176470588
test_03207,0.4525043177892919
test_03210,0.9272789347900308
test_03226,0.4827109266943291
test_03236,0.8134743875278396
test_03240,0.5887372013651877
test_03251,0.5627118644067797
test_03265,0.6952264381884945
test_03288,0.9013927576601672
test_03290,0.7095081967213115
test_03329,0.938486312399356
test_03337,0.8568646543330087
test_03360,0.8881811748053786
test_03375,0.9444980694980696
test_03380,0.5915178571428572
test_03390,0.7533112582781457
test_03392,0.92077580539119
test_03397,0.8462791960890821
test_03415,0.8896882494004796
test_03420,0.9103707179727828
test_03422,0.7942050520059436
test_03428,0.9335883171070932
test_03457,0.1868583162217659
test_03458,0.7510729613733905
test_03462,0.9407582938388626
test_03467,0.6238881829733164
test_03471,0.6981818181818182
test_03476,0.8294736842105264
test_03483,0.3362637362637363
test_03505,0.3487544483985765
test_03515,0.4082568807339449
test_03567,0.88125
test_03573,0.8146153846153846
test_03581,0.918032786885246
test_03588,0.8524130190796857
test_03589,0.8104395604395604
test_03593,0.686411149825784
test_03603,0.3953934740882917
test_03612,0.9365853658536584
test_03613,0.0
test_03629,0.2833333333333333
test_03639,0.9111592632719392
test_03655,0.4019746121297602
test_03670,0.5791245791245792
test_03694,0.8974031502767135
test_03704,0.8533640023001725
test_03707,0.8772919605077574
test_03716,0.646188850967008
test_03725,0.6875621890547263
test_03761,0.1919191919191919
test_03798,0.9188278881778376
test_03824,0.8152284263959391
test_03837,0.8468864468864469
test_03898,0.8190899001109878
test_03900,0.9221484610742304
test_03905,0.625
test_03909,0.6189529489728297
test_03914,0.7993019197207679
test_03921,0.898121617319325
test_03940,0.7682215743440233
test_03943,0.7068466730954677
test_03969,0.8815468940316686
test_03979,0.6813819577735125
test_03984,0.0
test_03991,0.8679098679098679
test_03996,0.9479644934190388
test_04000,0.916639317361339
test_04017,0.8509571558796718
test_04038,0.9362035225048924
test_04056,0.6370302474793768
test_04069,0.7786259541984732
test_04073,0.0
test_04085,0.9442559379544352
test_04094,0.936664729808251
test_04106,0.97382330732444
test_04111,0.8212454212454212
test_04132,0.8598781549173194
